x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,PERIOD,CURRENT_FLAG,NORMAL_CODE,NORMAL_ID,PUBLICATION_CODE,DATE_CALCULATED,FIRST_OCCURRENCE_DATE,PROVINCE_CODE,PERIOD_BEGIN,PERIOD_END,FIRST_YEAR,FIRST_YEAR_NORMAL_PERIOD,LAST_YEAR,LAST_YEAR_NORMAL_PERIOD,YEAR_COUNT_NORMAL_PERIOD,TOTAL_OBS_COUNT,OCCURRENCE_COUNT,MAX_DURATION_MISSING_YEARS,PERCENT_OF_POSSIBLE_OBS,E_NORMAL_ELEMENT_NAME,F_NORMAL_ELEMENT_NAME,MONTH,VALUE
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.1,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,806,,1,100,Total rainfall mm,Quantité totale de pluie en mm,1,255.32
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.2,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,734,,1,100,Total rainfall mm,Quantité totale de pluie en mm,2,167.68
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.3,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,Total rainfall mm,Quantité totale de pluie en mm,3,166.83
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.4,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,750,,1,100,Total rainfall mm,Quantité totale de pluie en mm,4,136.11
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.5,NORM,Y,C,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,744,,1,92.31,Total rainfall mm,Quantité totale de pluie en mm,5,103.27
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.6,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,780,,0,100,Total rainfall mm,Quantité totale de pluie en mm,6,82.49
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.7,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,775,,1,100,Total rainfall mm,Quantité totale de pluie en mm,7,53.2
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.8,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,Total rainfall mm,Quantité totale de pluie en mm,8,54.85
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.9,NORM,Y,C,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,720,,2,100,Total rainfall mm,Quantité totale de pluie en mm,9,76.83
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.10,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,Total rainfall mm,Quantité totale de pluie en mm,10,188.96
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.11,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2005,25,750,,0,96.15,Total rainfall mm,Quantité totale de pluie en mm,11,290.17
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.12,NORM,Y,A,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,775,,1,96.15,Total rainfall mm,Quantité totale de pluie en mm,12,229.9
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.52.13,NORM,Y,C,52,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,9252,,2,98.72,Total rainfall mm,Quantité totale de pluie en mm,13,1805.61
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.1,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,806,,1,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,1,107.06
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.2,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,734,,1,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,2,94.72
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.3,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,3,49.16
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.4,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,750,,1,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,4,54.53
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.5,NORM,Y,C,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,744,,1,92.31,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,5,45.36
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.6,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,780,,0,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,6,47.34
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.7,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,775,,1,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,7,36.58
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.8,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,8,55.07
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.9,NORM,Y,C,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,720,,2,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,9,41.81
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.10,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,10,94.02
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.11,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2005,25,750,,0,96.15,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,11,106.21
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.12,NORM,Y,A,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,775,,1,96.15,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,12,70.93
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.53.13,NORM,Y,C,53,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,9252,,2,98.72,StdDev total rainfall mm,Écart-type de la quantité totale de pluie en mm,13,66.9
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.1,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,806,,1,100,Total snowfall cm,Quantité totale de neige en cm,1,6.9
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.2,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,734,,1,100,Total snowfall cm,Quantité totale de neige en cm,2,5.21
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.3,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,Total snowfall cm,Quantité totale de neige en cm,3,1.6
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.4,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,750,,1,100,Total snowfall cm,Quantité totale de neige en cm,4,0.15
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.5,NORM,Y,C,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,744,,1,92.31,Total snowfall cm,Quantité totale de neige en cm,5,0
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.6,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,780,,0,100,Total snowfall cm,Quantité totale de neige en cm,6,0
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.7,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,775,,1,100,Total snowfall cm,Quantité totale de neige en cm,7,0
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.8,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,Total snowfall cm,Quantité totale de neige en cm,8,0
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.9,NORM,Y,C,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,720,,2,100,Total snowfall cm,Quantité totale de neige en cm,9,0
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.10,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,Total snowfall cm,Quantité totale de neige en cm,10,0.06
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.11,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2005,25,750,,0,96.15,Total snowfall cm,Quantité totale de neige en cm,11,2.29
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.12,NORM,Y,A,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,775,,1,96.15,Total snowfall cm,Quantité totale de neige en cm,12,8.7
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.54.13,NORM,Y,C,54,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,9252,,2,98.72,Total snowfall cm,Quantité totale de neige en cm,13,24.91
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.55.1,NORM,Y,A,55,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,806,,1,100,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,1,9.96
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.55.2,NORM,Y,A,55,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2007,26,734,,1,100,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,2,8.82
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.55.3,NORM,Y,A,55,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,806,,0,100,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,3,4.36
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.55.4,NORM,Y,A,55,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,25,750,,1,100,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,4,0.61
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.55.5,NORM,Y,C,55,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,24,744,,1,92.31,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,5,0
-123.01491666666666,49.29794444444445,N VANCOUVER 2ND NARROWS,1105666,830.55.6,NORM,Y,A,55,1,2013-03-25 19:13:19,,BC,1981,2010,,1981,,2006,26,780,,0,100,StdDev total snowfall cm,Écart-type de la quantité totale de neige en cm,6,0
